# material: iron 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
1732.89 1.845060e+18
1736.23 1.848722e+18
1739.57 1.852401e+18
1742.90 1.856098e+18
1746.24 1.859813e+18
1749.58 1.863546e+18
1752.92 1.867297e+18
1756.26 1.871067e+18
1759.60 1.874855e+18
1762.94 1.878662e+18
1766.28 1.882487e+18
1769.62 1.886332e+18
1772.95 1.890195e+18
1776.29 1.894078e+18
1779.63 1.897981e+18
1782.97 1.901904e+18
1786.31 1.905846e+18
1789.65 1.909808e+18
1792.99 1.913791e+18
1796.33 1.917795e+18
1799.67 1.921819e+18
1803.01 1.925864e+18
1806.34 1.929930e+18
1809.68 1.934018e+18
1813.02 1.938127e+18
1816.36 1.941276e+18
1819.70 1.944208e+18
1823.04 1.947148e+18
1826.38 1.950097e+18
1829.72 1.953055e+18
1833.06 1.956021e+18
1836.39 1.958997e+18
1839.73 1.961982e+18
1843.07 1.964975e+18
1846.41 1.967978e+18
1849.75 1.970990e+18
1853.09 1.974010e+18
1856.43 1.977040e+18
1859.77 1.980079e+18
1863.11 1.983128e+18
1866.44 1.986185e+18
1869.78 1.989252e+18
1873.12 1.992328e+18
1876.46 1.995413e+18
1879.80 1.998508e+18
1883.14 2.001611e+18
1886.48 2.004725e+18
1889.82 2.007848e+18
1893.16 2.010980e+18
1896.49 2.014122e+18
1899.83 2.017273e+18
1903.17 2.020434e+18
1906.51 2.023604e+18
1909.85 2.026784e+18
1913.19 2.029974e+18
1916.53 2.033093e+18
1919.87 2.036188e+18
1923.21 2.039293e+18
1926.54 2.042407e+18
1929.88 2.045531e+18
1933.22 2.048664e+18
1936.56 2.051807e+18
1939.90 2.054959e+18
1943.24 2.058121e+18
1946.58 2.061292e+18
1949.92 2.064474e+18
1953.26 2.067665e+18
1956.59 2.070865e+18
1959.93 2.074076e+18
1963.27 2.077296e+18
1966.61 2.080526e+18
1969.95 2.083766e+18
1973.29 2.087016e+18
1976.63 2.090276e+18
1979.97 2.093546e+18
1983.31 2.096826e+18
1986.64 2.100117e+18
1989.98 2.103417e+18
1993.32 2.106727e+18
1996.66 2.110048e+18
2000.00 2.113295e+18
