# material: cobalt 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1617.70 3.729704e+06
1621.04 3.729744e+06
1624.37 3.729785e+06
1627.71 3.729825e+06
1631.05 3.729865e+06
1634.39 3.729905e+06
1637.73 3.729944e+06
1641.07 3.729983e+06
1644.41 3.730022e+06
1647.75 3.730061e+06
1651.09 3.730099e+06
1654.42 3.730138e+06
1657.76 3.730176e+06
1661.10 3.730213e+06
1664.44 3.730251e+06
1667.78 3.730288e+06
1671.12 3.730325e+06
1674.46 3.730362e+06
1677.80 3.730399e+06
1681.14 3.730435e+06
1684.47 3.730472e+06
1687.81 3.730508e+06
1691.15 3.730544e+06
1694.49 3.730579e+06
1697.83 3.730615e+06
1701.17 3.730650e+06
1704.51 3.730685e+06
1707.85 3.730719e+06
1711.19 3.730754e+06
1714.52 3.730788e+06
1717.86 3.730823e+06
1721.20 3.730857e+06
1724.54 3.730890e+06
1727.88 3.730924e+06
1731.22 3.730957e+06
1734.56 3.730990e+06
1737.90 3.731023e+06
1741.24 3.731056e+06
1744.57 3.731089e+06
1747.91 3.731121e+06
1751.25 3.731154e+06
1754.59 3.731186e+06
1757.93 3.731218e+06
1761.27 3.731249e+06
1764.61 3.731281e+06
1767.95 3.731312e+06
1771.29 3.731343e+06
1774.62 3.731374e+06
1777.96 3.731405e+06
1781.30 3.731436e+06
1784.64 3.731466e+06
1787.98 3.731497e+06
1791.32 3.731527e+06
1794.66 3.731557e+06
1798.00 3.731587e+06
1801.34 3.731616e+06
1804.67 3.731646e+06
1808.01 3.731675e+06
1811.35 3.731704e+06
1814.69 3.731733e+06
1818.03 3.731762e+06
1821.37 3.731791e+06
1824.71 3.731819e+06
1828.05 3.731848e+06
1831.39 3.731876e+06
1834.72 3.731904e+06
1838.06 3.731932e+06
1841.40 3.731959e+06
1844.74 3.731987e+06
1848.08 3.732014e+06
1851.42 3.732042e+06
1854.76 3.732069e+06
1858.10 3.732096e+06
1861.44 3.732123e+06
1864.77 3.732150e+06
1868.11 3.732176e+06
1871.45 3.732203e+06
1874.79 3.732229e+06
