# material: iron 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1828.05 3.508192e+06
1831.39 3.508226e+06
1834.72 3.508259e+06
1838.06 3.508292e+06
1841.40 3.508325e+06
1844.74 3.508358e+06
1848.08 3.508390e+06
1851.42 3.508423e+06
1854.76 3.508455e+06
1858.10 3.508487e+06
1861.44 3.508519e+06
1864.77 3.508551e+06
1868.11 3.508582e+06
1871.45 3.508614e+06
1874.79 3.508645e+06
1878.13 3.508676e+06
1881.47 3.508707e+06
1884.81 3.508738e+06
1888.15 3.508768e+06
1891.49 3.508799e+06
1894.82 3.508829e+06
1898.16 3.508859e+06
1901.50 3.508889e+06
1904.84 3.508919e+06
1908.18 3.508949e+06
1911.52 3.508978e+06
1914.86 3.509007e+06
1918.20 3.509036e+06
1921.54 3.509066e+06
1924.87 3.509094e+06
1928.21 3.509123e+06
1931.55 3.509152e+06
1934.89 3.509180e+06
1938.23 3.509208e+06
1941.57 3.509236e+06
1944.91 3.509264e+06
1948.25 3.509292e+06
1951.59 3.509320e+06
1954.92 3.509348e+06
1958.26 3.509375e+06
1961.60 3.509402e+06
1964.94 3.509429e+06
1968.28 3.509456e+06
1971.62 3.509483e+06
1974.96 3.509510e+06
1978.30 3.509537e+06
1981.64 3.509563e+06
1984.97 3.509589e+06
1988.31 3.509615e+06
1991.65 3.509642e+06
1994.99 3.509667e+06
1998.33 3.509693e+06
